"DISPATCH UNITS",LOCATION,TYPE,ADDRESS,CITY,"CREATE DATE"
E49,"6685 PRINCEVALLE ST, GILROY, CA, 95020",MEDICF,"6685 PRINCEVALLE ST",Gilroy,"2026-01-26 11:51"
E49,"9389 MONTEREY RD, GILROY, CA, 95020",MEDICF,"9389 MONTEREY RD",Gilroy,"2026-05-23 17:28"
E650,,AUTOAV,"PACHECO PASS HY/PRUNEDALE AV","Santa Clara County","2024-06-17 19:26"
"E48, E49","8275 WESTWOOD DR, GILROY, CA, 95020",ODF,"8275 WESTWOOD DR",Gilroy,"2024-12-16 19:24"
"E48, E49",,1054F,"FIRST ST/KELTON DR",Gilroy,"2026-07-05 09:53"
"E650, E48","7000 KIRIGIN WAY, GILROY, CA, 95020",MEDICF,"7000 KIRIGIN WY",Gilroy,"2024-10-31 06:08"
E49,"1442 MANTELLI DR, GILROY, CA, 95020",MEDICF,"1442 MANTELLI DR",Gilroy,"2026-01-27 01:14"
E48,"7621 HANNA ST, GILROY, CA, 95020",MEDICF,"7621 HANNA ST",Gilroy,"2024-12-12 12:54"
E48,"7541 CHESTNUT ST, GILROY, CA, 95020",MEDICF,"7541 CHESTNUT ST",Gilroy,"2024-11-03 19:28"
"E47, E650","6110 MONTEREY RD, GILROY, CA, 95020",FIREHF,"6110 MONTEREY RD",Gilroy,"2024-11-03 21:25"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-11-03 23:15"
"E47, E48",,MEDICF,"7421 MONTEREY ST",Gilroy,"2025-01-01 15:09"
E48,"851 GREYSTONE CT, GILROY, CA, 95020",PSLIFT,"851 GREYSTONE CT",Gilroy,"2025-03-21 10:08"
"E650, E47",,MEDICF,"1345 W LUCHESSA AV",Gilroy,"2024-11-04 06:35"
E48,"1415 BRISTLECONE CT, GILROY, CA, 95020",MEDICF,"1415 BRISTLECONE CT",Gilroy,"2024-12-12 17:24"
E47,,MEDICF,"7397 MONTEREY ST",Gilroy,"2024-11-04 07:13"
"E47, B47, E68",,MEDICF,"SB 101/MONTEREY",Gilroy,"2026-06-18 21:50"
E47,"7150 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7150 CAMINO ARROYO",Gilroy,"2024-12-12 14:15"
E48,"830 EL CERRITO WAY, GILROY, CA, 95020",MEDICF,"830 EL CERRITO WY",Gilroy,"2026-03-14 21:18"
E48,"8140 SWANSTON LN, GILROY, CA, 95020",MEDICF,"8140 SWANSTON LN",Gilroy,"2026-05-11 22:02"
E49,"1431 BRIARBERRY LN, GILROY, CA, 95020",MEDICF,"1431 BRIARBERRY LN",Gilroy,"2025-04-12 18:27"
E50,"880 SUNRISE DR, GILROY, CA, 95020",TESTF,"880 SUNRISE DR",Gilroy,"2024-07-15 21:07"
E47,"8095 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"8095 CAMINO ARROYO",Gilroy,"2025-04-07 11:04"
E48,"8800 LILLY AVE, GILROY, CA, 95020",MEDICF,"8800 LILLY AV",Gilroy,"2025-01-12 18:47"
"E48, B47, E49, B57, E47, E69, E168","7610 ISABELLA WAY, GILROY, CA, 95020",1033SD,"7610 ISABELLA WY",Gilroy,"2025-05-16 08:37"
E47,,SMOKE,"7653 FOREST ST",Gilroy,"2025-01-31 08:35"
E48,"7850 HANNA ST, GILROY, CA, 95020",1033CM,"7850 HANNA ST",Gilroy,"2024-12-15 20:36"
E48,"7531 DOWDY ST, GILROY, CA, 95020",MEDICF,"7531 DOWDY ST",Gilroy,"2025-03-21 11:55"
E47,"8587 CHURCH ST, GILROY, CA, 95020",MEDICF,"8587 CHURCH ST",Gilroy,"2025-03-21 12:03"
E49,"379 TOMKINS CT, GILROY, CA, 95020",MEDICF,"379 TOMKINS CT",Gilroy,"2025-06-30 09:28"
E2614,"1158 SAGARDIA WAY, GILROY, CA, 95020",1033CM,"1158 SAGARDIA WY",Gilroy,"2024-11-12 07:32"
"E47, E68, B47",,AUTOAVA,"101N OFF MASTEN AV RP/MASTEN AV","Santa Clara County","2026-01-19 16:14"
E27,"715 GASCONY CT, GILROY, CA, 95020",MEDICF,"715 GASCONY CT",Gilroy,"2024-06-16 11:51"
E47,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2026-03-26 17:47"
E48,,MEDICF,"1335 FIRST ST",Gilroy,"2024-10-15 16:35"
"E48, E49",,AUTOAVA,"REDWOOD RETREAT/WATSONVILLE RD","Santa Clara County","2024-10-31 07:26"
E47,,AUTOAVA,"PACHECO PASS HY/FERGUSON RD","Santa Clara County","2026-01-23 13:31"
E48,"7935 SPANISH OAK CIR, GILROY, CA, 95020",MEDICF,"7935 SPANISH OAK CI",Gilroy,"2024-06-16 14:07"
E47,,AUTOA,"5470 FRAZIER LAKE RD","Santa Clara County","2024-10-31 06:37"
E650,"7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2024-09-11 13:32"
E48,"401 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"401 LEAVESLEY RD",Gilroy,"2025-03-21 13:19"
E2614,"1545 MARGARETA PL, GILROY, CA, 95020",PSLIFT,"1545 MARGARETA PL",Gilroy,"2024-10-18 16:42"
E48,"370 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"370 LEAVESLEY RD",Gilroy,"2026-06-06 15:31"
E650,,ELRES,"200 E TENTH ST",Gilroy,"2026-06-09 21:06"
E48,"831 RYAN CT, GILROY, CA, 95020",MEDICF,"831 RYAN CT",Gilroy,"2025-03-21 14:22"
E48,,MEDICF,"CHURCH ST/W SIXTH ST",Gilroy,"2025-03-21 16:13"
E48,"7700 REA ST, GILROY, CA, 95020",MEDICF,"7700 REA ST",Gilroy,"2025-03-21 16:59"
E47,"7110 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7110 CAMINO ARROYO",Gilroy,"2024-07-01 00:46"
E47,"7360 MAPLE ST, GILROY, CA, 95020",MEDICF,"7360 MAPLE ST",Gilroy,"2025-03-21 16:32"
E48,,MEDICF,"350 MANTELLI DR",Gilroy,"2026-02-06 17:12"
E49,,AUTOAVA,"101/ SAN MARTIN",,"2026-05-30 21:19"
E48,"7952 WESTWOOD DR, GILROY, CA, 95020",MEDICF,"7952 WESTWOOD DR",Gilroy,"2025-01-23 05:39"
E48,,AUTOAM,"775 LEAVESLEY RD",Gilroy,"2025-01-12 19:31"
E49,"9232 CALLE DEL REY, GILROY, CA, 95020",PSLIFT,"9232 CALLE DEL REY",Gilroy,"2025-03-21 17:39"
E49,"8589 SILVIA ST, GILROY, CA, 95020",PSLIFT,"8589 SILVIA ST",Gilroy,"2024-07-15 21:37"
E49,"8200 KERN AVE, GILROY, CA, 95020",1033GF,"8200 KERN AV",Gilroy,"2026-01-16 11:43"
E48,,VEHF,"691 FIRST ST",Gilroy,"2024-10-18 17:12"
E49,"1970 LAVENDER WAY, GILROY, CA, 95020",MEDICF,"1970 LAVENDER WY",Gilroy,"2024-08-29 05:25"
"E47, B48",,AUTOAVA,"BOLSA RD/BLOOMFIELD AV","Santa Clara County","2024-12-17 07:17"
E48,,MEDICF,"777 FIRST ST",Gilroy,"2025-03-21 19:50"
"E49, B47, E48",,1180F,"CREST HILL WY/VALLEY OAKS DR",Gilroy,"2026-06-12 20:43"
"E49, E47, E650","520 BROADWAY, GILROY, CA, 95020",MEDICF,"520 BROADWAY",Gilroy,"2024-10-15 09:34"
"E650, E48","2811 CALEDONIA WAY, GILROY, CA, 95020",PSLIFT,"2811 CALEDONIA WY",Gilroy,"2026-01-16 20:20"
"E50, E47",,1056AF,"200 E TENTH ST",Gilroy,"2026-02-23 20:08"
"E48, E49, E47","5887 MONTEREY RD, GILROY, CA, 95020",1180F,"5887 MONTEREY RD",Gilroy,"2025-01-01 15:47"
"E47, E68, B48",,AUTOAVA,"101N OFF MASTEN AV RP/MASTEN AV","Santa Clara County","2026-04-02 21:39"
E48,,MEDICF,"375 LEAVESLEY RD",Gilroy,"2024-10-18 18:04"
E147,"6500 MONTEREY RD, GILROY, CA, 95020",1033SD,"6500 MONTEREY RD",Gilroy,"2024-11-12 08:09"
"E49, B47",,AUTOAVA,"HECKER PASS/WHITEHURST",,"2024-10-31 08:40"
E69,"2500 APPLE TREE WAY, GILROY, CA, 95020",MEDICF,"2500 APPLE TREE WY",Gilroy,"2025-01-01 15:41"
E47,,AUTOAM,"4355 MONTEREY RD ON 101S RP",Gilroy,"2024-07-12 19:45"
E50,"1520 HECKER PASS RD APT 1102, GILROY, CA, 95025",1033GF,"1520 HECKER PASS RD",Gilroy,"2025-11-29 20:16"
E49,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2026-02-20 19:04"
E48,,PSLIFT,"766 FIRST ST",Gilroy,"2025-06-07 21:02"
E50,"926 ALTA OAK WAY, GILROY, CA, 95020",ODOR,"926 ALTA OAK WY",Gilroy,"2026-02-16 20:46"
"E49, E47","852 WELBURN AVE, GILROY, CA, 95020",MEDICF,"852 WELBURN AV",Gilroy,"2025-02-07 08:20"
E48,"7902 WESTWOOD DR, GILROY, CA, 95020",MEDICF,"7902 WESTWOOD DR",Gilroy,"2025-03-20 21:54"
"E48, E49",,MEDICF,"7475 CAMINO ARROYO",Gilroy,"2025-02-07 10:51"
E49,"9232 CALLE DEL REY, GILROY, CA, 95020",MEDICF,"9232 CALLE DEL REY",Gilroy,"2025-02-07 13:18"
E48,"8664 LILLY AVE, GILROY, CA, 95020",MEDICF,"8664 LILLY AV",Gilroy,"2026-05-07 22:35"
E49,"1545 MARGARETA PL, GILROY, CA, 95020",PSLIFT,"1545 MARGARETA PL",Gilroy,"2024-10-18 19:09"
E48,"8401 CHURCH ST, GILROY, CA, 95020",1181F,"8401 CHURCH ST",Gilroy,"2026-07-14 16:19"
E48,,MEDICF,"WAYLAND LN/LA SIERRA WY",Gilroy,"2025-03-20 22:53"
E47,,MEDICF,"E TENTH ST/ALEXANDER ST",Gilroy,"2025-02-09 14:23"
"E48, E68, E49, B48, E50, E650, E47, WT68",,VEGF,"GREENFIELD DR/CHARLES LUX DR",Gilroy,"2026-07-14 11:57"
E48,,AUTOAM,"HWY 25/BLOOMFIELD AV","Santa Clara County","2024-07-31 11:30"
E47,"580 STONEY CT, GILROY, CA, 95020",MEDICF,"580 STONEY CT",Gilroy,"2025-12-03 20:45"
E48,"797 LAWRENCE DR, GILROY, CA, 95020",1033SD,"797 LAWRENCE DR",Gilroy,"2025-02-07 00:50"
E47,,MEDICF,"363 E TENTH ST",Gilroy,"2025-04-12 19:46"
E47,,MEDICF,"1350 PACHECO PASS HY",Gilroy,"2025-02-07 06:04"
E47,,MEDICF,"5878 GARLIC FARMS DR",Gilroy,"2025-01-01 16:56"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-11-24 06:46"
E48,"7651 REA ST, GILROY, CA, 95020",MEDICF,"7651 REA ST",Gilroy,"2025-01-12 21:27"
E48,"930 THIRD ST, GILROY, CA, 95020",AAF,"930 THIRD ST",Gilroy,"2024-08-15 06:59"
E47,"332 LEWIS ST, GILROY, CA, 95020",MEDICF,"332 LEWIS ST",Gilroy,"2025-04-02 11:31"
"E68, B48, E50, E47, E49, B68, WT68",,FIREF,"US HWY 101/MONTEREY RD ON 101N RP",Gilroy,"2025-07-26 14:09"
E47,,MEDICF,"MARTIN ST/MONTEREY ST",Gilroy,"2025-07-17 20:46"
E47,"5920 TRAVEL PARK CIR, GILROY, CA, 95020",MEDICF,"5920 TRAVEL PARK CI",Gilroy,"2025-08-31 04:27"
"B47, E68, E47, WT68",,MEDICF,"US HWY 101/AUTOMALL PARKWAY",Gilroy,"2026-07-17 16:12"
E47,,MEDICF,"200 E TENTH ST",Gilroy,"2026-04-22 21:11"
E49,,MEDICF,"COHANSEY AV/CHICKADEE LN",Gilroy,"2024-10-18 20:02"
E47,"7598 MONTEREY ST APT 110, GILROY, CA, 95020",1033SD,"7598 MONTEREY ST",Gilroy,"2026-03-30 22:30"
E47,"7110 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7110 CAMINO ARROYO",Gilroy,"2025-09-25 04:07"
E48,"260 FARRELL AVE, GILROY, CA, 95020",MEDICF,"260 FARRELL AV",Gilroy,"2025-03-12 07:05"
E650,"7070 CHESTNUT ST, GILROY, CA, 95020",FMIS,"7070 CHESTNUT ST",Gilroy,"2024-07-16 01:45"
E49,"1434 BLACKWING WAY, GILROY, CA, 95020",MEDICF,"1434 BLACKWING WY",Gilroy,"2025-11-15 20:35"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-09-22 22:52"
E47,,MEDICF,"651 W SIXTH ST",Gilroy,"2025-03-12 12:08"
E48,"783 MANTELLI DR, GILROY, CA, 95020",MEDICF,"783 MANTELLI DR",Gilroy,"2025-03-12 11:44"
"E48, RM49","6500 MONTEREY RD, GILROY, CA, 95020",MEDICF,"6500 MONTEREY RD",Gilroy,"2026-02-11 17:19"
E47,"205 MAYOCK RD, GILROY, CA, 95020",SMOKE,"205 MAYOCK RD",Gilroy,"2026-03-16 07:22"
E47,"5878 GARLIC FARM DR, GILROY, CA, 95020",SMOKE,"5878 GARLIC FARM DR",Gilroy,"2026-04-04 22:27"
E48,,SMOKE,"8505 CHURCH ST",Gilroy,"2024-06-18 04:55"
E47,,AUTOAM,"980 HWY 25","Santa Clara County","2025-03-12 18:07"
E48,,MEDICF,"WREN AV/EL CERRITO WY",Gilroy,"2024-07-12 19:56"
E47,"7150 CAMINO ARROYO, GILROY, CA, 95020",1033GF,"7150 CAMINO ARROYO",Gilroy,"2026-06-02 12:31"
E49,"1469 BAY TREE DR, GILROY, CA, 95020",MEDICF,"1469 BAY TREE DR",Gilroy,"2026-03-25 04:20"
E48,,MEDICF,"691 FIRST ST",Gilroy,"2025-03-21 01:52"
"B47, E48, RM49",,1180F,"WREN AV/FIRST ST",Gilroy,"2026-05-12 14:43"
E47,"8390 ARROYO CIR, GILROY, CA, 95020",FIREF,"8390 ARROYO CI",Gilroy,"2024-12-04 23:14"
"E48, E49",,1180F,"PRINCEVALLE ST/W SIXTH ST",Gilroy,"2025-04-12 20:02"
T47,"175 LONDON PL, GILROY, CA, 95020",PSLIFT,"175 LONDON PL",Gilroy,"2025-01-12 23:12"
"E48, E49, RM49",,MEDICF,"SANTA TERESA BL/THIRD ST",Gilroy,"2026-05-19 21:47"
